date,product,category,store,quantity,unit price,revenue
2024-01-05,Coffee Beans,Beverages,North Branch,2,11.99,23.98
2024-01-07,Sourdough Bread,Bakery,North Branch,1,3.49,3.49
2024-01-12,Greek Yoghurt,Dairy,South Branch,3,1.89,5.67
2024-01-15,Bananas,Produce,North Branch,4,1.49,5.96
2024-01-18,Coffee Beans,Beverages,South Branch,1,11.99,11.99
2024-01-22,Laundry Detergent,Household,North Branch,2,7.99,15.98
2024-01-28,Cheddar Cheese,Dairy,South Branch,1,4.99,4.99
2024-02-03,Coffee Beans,Beverages,North Branch,3,11.99,35.97
2024-02-08,Croissants,Bakery,South Branch,4,2.29,9.16
2024-02-11,Mineral Water,Beverages,North Branch,6,0.89,5.34
2024-02-14,Apples,Produce,South Branch,2,2.39,4.78
2024-02-19,Coffee Beans,Beverages,North Branch,2,11.99,23.98
2024-02-23,Butter,Dairy,South Branch,1,2.79,2.79
2024-02-27,Paper Towels,Household,North Branch,3,3.49,10.47
2024-03-04,Coffee Beans,Beverages,South Branch,4,11.99,47.96
2024-03-09,Sourdough Bread,Bakery,North Branch,2,3.49,6.98
2024-03-15,Greek Yoghurt,Dairy,South Branch,2,1.89,3.78
2024-03-20,Bananas,Produce,North Branch,5,1.49,7.45
2024-03-25,Orange Juice,Beverages,South Branch,3,2.49,7.47
2024-03-31,Coffee Beans,Beverages,North Branch,1,11.99,11.99
